subj_id,Parent,Agreement,Intelligence Mindset_1,Intelligence Mindset_2,Intelligence Mindset_3,Intelligence Mindset_4,Perception_Child_1,Perception_Child_2,Perception_Child_3,Perception_Child_4,Failure_Deb_1,Failure_Deb_2,Failure_Deb_3,Failure_Deb_4,Failure_Deb_5,Failure_Enh_1,Failure_Enh_2,Failure_Enh_3,Failure_Enh_4,Failure_Enh_5,Say the children,think,feel,perf_ori,lear_ori,other,Failure Mindset_1,Failure Mindset_2,Failure Mindset_3,Q24_1,Q24_2,Q24_3,EDUC,Gender,Origin,Age,#Children,Child Age_1,Child Age_2,Child Age_3,Child Age_4,Child Age_5,mTurkCode,Duration (in seconds)
1,Yes,I commit to carefully reading the material presented in this study.,3,4,4,5,4,4,4,4,3,3,4,4,4,,,,,,I would scold the child because of those grades.,I would think I failed as a parent.,I'd feel I didn't do my job as a parent.,2,0,0,3,4,4,3,4,4,college degree,Male,White,25,1,5,0,0,0,0,1576616,101
2,Yes,I commit to carefully reading the material presented in this study.,5,5,2,2,4,4,5,5,,,,,,5,4,5,4,4,tell her to start studying for the next one,she's not as good at it as she thought,bad for her,2,1,,3,3,3,2,2,2,college degree,Male,White,35,1,6,,,,,569982,106
4,Yes,I commit to carefully reading the material presented in this study.,5,5,2,2,4,5,5,6,,,,,,6,6,6,6,6,I would ask her where she thinks she went wrong,I would think that she should review her material more just to  be certain that she understands the material,I would feel that i should have done more to help her prepare,1,2,0,6,6,6,1,1,1,college degree,Female,White,32,1,8,0,0,0,0,8282366,138
5,Yes,I commit to carefully reading the material presented in this study.,5,4,4,3,5,5,5,5,4,4,5,4,4,,,,,,"I would not get mad at my child. If he really tried his best, I will continue to encourage him. Maybe pick up some extra time to study with a tutor.",I would be a little disappointed but not angry,I would feel helpless,1,2,,5,4,4,4,5,4,college degree,Male,Asian American,29,1,7,,,,,2079700,132
7,Yes,I commit to carefully reading the material presented in this study.,4,4,3,3,3,4,3,3,,,,,,6,6,6,6,6,"""I hate it when that happens"".  Let's go through the test and see what happened. ",I wonder if it was the whole class,Sad for her that she got a bad grade when she thought she did well.,2,1,0,6,6,6,2,2,4,college degree,Female,White,36,1,3,,,,,9565485,213
8,Yes,I commit to carefully reading the material presented in this study.,4,5,4,6,5,4,6,6,,,,,,3,4,5,5,5,I would sit the child down and have a talk about how important school work is.,Disappointed ,Disappointed ,2,0,0,3,2,3,4,2,5,college degree,Male,White,30,1,13,13,13,13,13,3399703,176
9,Yes,I commit to carefully reading the material presented in this study.,3,4,5,5,4,5,5,5,4,5,6,5,2,,,,,,"I would talk with my child. I would ask them if I could look through the test, find out what parts they are struggling with. I would help my child try to do better.","I would be upset, but I would turn it into a learning experience.","Upset, but again, I'd use it as a learning experiment.",0,2,0,4,6,5,3,2,1,a high school degree,Female,White,22,2,2,0,,,,5657433,149
10,Yes,I commit to carefully reading the material presented in this study.,2,1,6,6,3,2,3,4,,,,,,5,4,4,5,5,"What happened?  I thought you studied, and did fine?  Was there something you missed?","That my child didnt understand the material, or that it wasnt explained thorough enough by either myself or the teacher.",Like I havent done my job well enough.,1,2,0,4,5,4,4,5,4,college degree,Male,White,37,1,6,0,0,0,0,7788869,224
11,Yes,I commit to carefully reading the material presented in this study.,2,2,5,5,5,5,4,3,,,,,,5,5,5,5,5,its ok. we will work on this together and help you get to where you need to be,that this was a fluke and will change in the future,I need to help my child with math skills,0,2,0,5,5,5,1,1,1,college degree,Male,White,68,3,35,31,28,0,0,5593027,247
12,Yes,I commit to carefully reading the material presented in this study.,4,4,3,3,4,4,2,6,4,4,4,4,4,,,,,,I'd ask what was confusing and try to help,"First time without a real understanding of what's involved, not too big a deal",like I need to help and monitor study.,0,2,0,3,3,4,3,3,4,college degree,Male,White,47,1,4,0,0,0,0,1860928,276
13,Yes,I commit to carefully reading the material presented in this study.,4,5,5,2,5,5,5,5,2,5,5,6,1,,,,,,What happened?  Can you make corrections? I think you need to talk to you teacher and find out what went wrong. I'd like to look at the test so we can see what happened.,I would think that I was a bad parent because I didn't make him study and check to see that he understood the material,I would feel bad - I would feel scared that he wasn't grasping the material. Will he succeed in life?  Will he be able to go to college? Have I failed as a parent?,2,1,0,3,4,4,3,3,2,college degree,Female,White,42,1,13,,,,,872045,275
14,Yes,I commit to carefully reading the material presented in this study.,3,3,4,3,5,4,4,4,,,,,,6,6,6,6,6,"Oh no! How could that be right? Maybe there's something you didn't understand, or maybe the teacher made a mistake. Let's look over the test and see if we can figure out what happened.","Either she missed some major point, or there's a mistake.",I'd feel sad for my child.,1,2,0,5,5,6,3,4,2,post-graduate degree,Female,White,38,4,8,13,15,17,,110174,284
16,Yes,I commit to carefully reading the material presented in this study.,3,4,5,5,5,5,2,5,4,4,4,4,5,,,,,,get to the bottom of what exactly isn't understood,attempt to find alternate descriptions,"challenged to find a way to make it ""click""",0,2,0,4,5,4,3,5,6,college degree,Male,White,53,1,21,0,0,0,0,8288281,333
17,Yes,I commit to carefully reading the material presented in this study.,3,3,5,5,6,6,5,4,,,,,,5,6,6,6,5,"I would ask how comfortable they feel with the material, and if they like the class more than they know the material. I would warn that a failure to improve would result in punishment. ",I would think they weren't taking  the class serious enough. ,I would feel a little like I failed. ,3,0,0,4,5,3,2,3,3,college degree,Male,White,37,1,12,0,0,0,0,6987828,319
18,Yes,I commit to carefully reading the material presented in this study.,5,5,2,2,5,4,4,4,,,,,,6,6,5,6,6,You are good at math.  That she needs to study a bit harder and she will excel.,That she didn't study enough but that she is capable,A little disappointed but encouraged to help her.,0,2,0,5,5,5,3,4,6,a high school degree,Male,White,48,5 or more,8,8,10,17,22,5237505,258
19,Yes,I commit to carefully reading the material presented in this study.,2,5,5,5,6,6,4,4,,,,,,6,6,6,6,6,"You need to work harder.  Focus more.  Practice more.  Let me see your homework assignments.  Apparently it was not a reasonable amount of study time.  If you practice more, then you will do better.  It takes effort.",I also think that its just one test and that there will be more to make up the poor grade.,I would feel that I need to help my child organize and plan more.  Help foster a distraction free study environment.,0,2,0,6,6,6,6,6,6,post-graduate degree,Male,White,44,2,8,11,,,,9542249,281
20,Yes,I commit to carefully reading the material presented in this study.,6,6,1,1,6,6,6,6,,,,,,5,5,5,5,5,I would tell them that we need to study more on this. ,I would think she froze up at test time,I would feel hurt for my child but glad that her grades matter to her,1,1,1,6,6,6,1,1,1,post-graduate degree,Female,White,43,5 or more,11,15,19,22,24,7741870,154
21,Yes,I commit to carefully reading the material presented in this study.,2,4,4,3,4,5,3,4,,,,,,5,6,5,5,6,I would be upset but understand she actually studied for the test and tried to do her best.,"She did her best, she didn't go in without studying.",I would feel bad she failed a test she thought she did well on.,2,0,0,5,5,4,5,4,5,a high school degree,Female,White,31,2,2,14,,,,6728021,223
22,Yes,I commit to carefully reading the material presented in this study.,6,6,2,2,4,2,4,6,,,,,,5,5,6,6,6,I thought you said you studied enough and that you were prepared.,I would think that my child wasn't taking their class serious enough,I was be disappointed and would offer to help with studying for the next test,1,2,0,4,5,6,2,2,2,a high school degree,Male,White,62,1,25,0,0,0,0,593023,396
23,Yes,I commit to carefully reading the material presented in this study.,5,5,4,5,4,4,5,4,5,5,4,5,4,,,,,,It happens in life. Better luck next time,I think it's not bad as my child had prepared for the exam,I'l fee somewhat sad,2,0,0,5,5,4,5,4,4,post-graduate degree,Male,White,28,1,4,0,0,0,0,2095521,413
24,Yes,I commit to carefully reading the material presented in this study.,1,1,6,6,6,1,1,6,,,,,,6,6,6,6,6,That we will work on It together,That she needs a little work,I would feel that I need to help her,0,2,0,6,6,6,1,1,1,a high school degree,Female,White,32,4,10,7,5,1,0,8457955,162
25,Yes,I commit to carefully reading the material presented in this study.,4,4,5,5,5,3,5,4,6,6,4,4,4,,,,,,I would say I am disappointed.  And that something needs to change,I would think what I can do to imprvoe,I am shamed.  I am not doing my job.,1,2,0,4,5,5,5,4,5,college degree,Male,White,24,1,7,0,0,0,0,6611720,202
26,Yes,I commit to carefully reading the material presented in this study.,4,4,2,1,5,5,6,6,1,1,1,1,6,,,,,,Don't worry about this. It is just one grade. I will help you get caught up. (She is lucky because I am a math/science teacher). Just keep working and do your best.,I would not be troubled by this.,I would not feel troubled. I would work the problems with her. We would conquer this problem.,0,2,0,3,4,3,4,3,3,post-graduate degree,Female,White,50,1,17,0,0,0,0,700636,366
27,Yes,I commit to carefully reading the material presented in this study.,2,2,5,5,6,5,5,6,4,5,5,5,3,,,,,,I would remind my child of the importance of studying. I would also tell them to try harder next time.,I would think my child just had a bad day and didn't perform as well as she usually does.,I would feel surprised.,0,1,0,3,5,4,3,5,4,a high school degree,Male,Hispanic,,1,17,,,,,3814766,385
28,Yes,I commit to carefully reading the material presented in this study.,1,2,5,6,3,3,3,3,,,,,,6,6,6,6,6,It's okay it is only your first test you can do better next time. Is there anything I can help you with? We can practice together and make sure you do great on your next test.,"I would think that my child got nervous, it has happened to me that I think I know the subject and material on a test and still fail. ",As a parent I would feel bad for my child but I would make sure I support them and help them in whatever they need. ,1,2,0,4,4,4,6,3,6,college degree,Female,Hispanic,20,1,2,0,0,0,0,2711717,373
29,Yes,I commit to carefully reading the material presented in this study.,1,4,2,3,3,3,3,3,4,4,4,4,4,,,,,,Gwen we need to go over this.  Why do you think you failed?  Do you think you studied hard enough?,My child needs help,Worried about my child in school.,1,1,1,4,5,4,2,2,4,a high school degree,Male,White,27,1,8,0,0,0,0,3402204,191
30,Yes,I commit to carefully reading the material presented in this study.,5,3,3,4,3,2,3,3,,,,,,5,4,2,4,3,I'm going to take away all of your video games until you get your grades up. I am also signing you up for after school tutoring.,"I would think that it is my fault they have received this grade, nothing more and nothing less.",I would feel like a failure and there isn't really anything else to add except me failing here.,1,1,1,3,2,4,3,4,2,college degree,Male,Hispanic,30,1,7,,,,,6457139,364
31,Yes,I commit to carefully reading the material presented in this study.,4,3,5,4,4,5,4,5,5,4,4,4,6,,,,,,I would tell my child she is to come home after school and study!,I would think she is learning and give her some time to learn the material better.,I would be proud she put in an effort.,0,2,0,5,2,5,3,5,3,college degree,Male,White,27,1,9,0,0,0,0,9087789,233
32,Yes,I commit to carefully reading the material presented in this study.,2,2,5,4,4,4,2,2,5,6,5,6,2,,,,,,"What happened buddy? You said you were confident, but then you got an F. How do you think you can improve on your next math test?","I'd think that perhaps my child didn't pay close enough attention to the material, and so they were overconfident because they didn't understand the finer points of the material.","A bit frustrated, but I'd temper it with the knowledge that failure is a natural part of learning, and hope that my child can grow from the experience, and not let it negatively affect them. I wouldn't love him any less.",0,2,1,6,6,5,2,1,2,college degree,Male,White,35,2,1,13,0,0,0,7169142,400
33,Yes,I commit to carefully reading the material presented in this study.,2,2,4,4,4,5,5,6,4,4,4,4,3,,,,,,"I would ask what happened there and let them know that if they tried their hardest, it was okay.  But this is a subject they're usually very good at, so I'd try to get to the deeper root -- maybe they were distracted, upset, hungry, etc and that lowered the quality of their work.",I would think that maybe there was more to the story.,"I wouldn't feel particularly bad, but I'd want to get some clarity.",0,1,1,4,5,5,3,3,3,post-graduate degree,Male,White,29,1,8,0,0,0,0,22302,296
35,Yes,I commit to carefully reading the material presented in this study.,4,6,6,5,2,4,4,4,,,,,,5,6,6,6,6,I would tell my child that it stinks that she failed but this is just motivation to try harder next time and make sure she never gets an F again. I would go over all of the problems that she missed and re test her on them. If she got them wrong then we would work together on those particular types of problems to get really good at them and make sure it is fully understood.,I would think that I don't want this setback to discourage her and kill her confidence in math.,I would hurt to for my child. She seemed confident and excited that she was supposedly doing well and I wouldn't want to see her feeling bad about herself over this,1,2,0,5,5,6,5,1,6,college degree,Female,White,32,2,4,14,,,,9328947,341
36,Yes,I commit to carefully reading the material presented in this study.,3,3,4,4,4,4,4,5,,,,,,5,5,5,5,5,I would say that it appears that was a challenging test.  I would sit down with them and go over the questions and try to help them learn the concepts in the questions they missed.,I would think they probably overestimated their level of preparation and confidence.  I would keep a close eye on homework and studying properly for the next test.,"It is good my child feels positively about the class, and I would try to nip the problems in the bud since this subject, like many, builds on the foundation of previous concepts being learned.  I would not be critical, but would try very much to be supportive and help my child learn this subject.",0,3,0,5,5,5,5,5,5,post-graduate degree,Female,White,66,1,31,0,0,0,0,2090798,473
37,Yes,I commit to carefully reading the material presented in this study.,3,4,3,3,2,2,2,4,6,6,6,6,1,,,,,,I would ask if she really studied enough and would ask her to show me what questions she missed and help her figure where she went wrong. Id ask if she could make up the test and if she needs tutoring.,Id think she didn't give her full effort and could do better.,worried and concerned,1,2,1,6,6,6,6,6,6,a high school degree,Female,White,34,3,2,3,5,0,0,161242,454
38,Yes,I commit to carefully reading the material presented in this study.,1,2,5,5,2,3,6,4,2,3,3,2,2,,,,,,I would ask my child to look through the test with me.  I would note which problems seemed hardest for my child and talk them through.  Why do you think you got this score?  What made this problem hard for you?  How would you try it differently next time?  I would remind my child that grades are just a number and not a person's whole identity.  I would encourage my child to use the test as a learning experience to determine what to work on for next time.,I would think that maybe there was a mistake or that my child attempted to solve the problems using a different strategy or method.  I would wonder if the work is set up right but the answer is wrong or vice versa.,"I would feel worried that my child will lose her motivation, persistence, and drive for something she once seemed to really enjoy.",0,3,0,4,6,5,2,2,2,post-graduate degree,Female,White,29,1,10,0,0,0,0,1114350,416
39,Yes,I commit to carefully reading the material presented in this study.,5,6,4,2,4,5,5,3,,,,,,6,6,6,6,6,"Samantha did you really study? Did you make study cards? 
I would want to see the test. ",I think that Samantha was studying wrong and did not take it seriously. ,I feel responsible that I did not help her study. ,1,2,0,5,6,2,3,4,4,post-graduate degree,Female,White,51,3,29,31,33,0,0,2771625,385
40,Yes,I commit to carefully reading the material presented in this study.,1,1,6,6,5,5,5,5,3,3,3,3,1,,,,,,"I know you are upset about studying so hard and not getting a good grade.  This is one test, you can do better next time.  Let's meet with your teacher so we can see what went wrong.  I'm still proud of you for studying hard.  Don't give up, ok?","I would think that he was distracted, hungry, tired or overstudied. ",I would feel sad that he was disappointed in himself but I would make it my duty to stay positive when in front of him. ,1,1,1,2,3,4,3,3,4,a high school degree,Female,Other,35,1,2,,,,,7843836,386
41,Yes,I commit to carefully reading the material presented in this study.,5,5,2,1,5,5,4,6,,,,,,5,4,3,5,6,"I'm sorry that you got a bad grade on the test. I know you studied hard!  Let's go over it together and see if there is something that you don't understand. If you want, I can email the teacher if we have questions about the problems you got wrong.","I would think that the teacher was unfair, in terms of teaching my child how to do well on this math test.","I would feel ashamed that my kid didn't do well, and that I didn't help him prepare enough",1,1,1,4,4,3,4,3,4,college degree,Female,White,33,2,4,7,0,0,0,1611975,207
42,Yes,I commit to carefully reading the material presented in this study.,4,4,3,4,4,3,4,2,,,,,,3,4,4,4,3,Work harder,he/she could do better,accepting,0,2,0,3,3,2,3,4,2,a high school degree,Male,Asian American,19,1,3,0,0,0,0,1622674,159
43,Yes,I commit to carefully reading the material presented in this study.,1,1,5,3,5,6,5,6,,,,,,6,6,6,6,6,Lets see what you had trouble with and study these more so you can improve those skills,I would feel surprised and think improvement would be possible,Like I had not kept a close enough eye on what was going on,1,2,0,3,4,5,5,5,5,college degree,Female,Other,55,5 or more,35,30,11,6,4,2562092,482
44,Yes,I commit to carefully reading the material presented in this study.,1,1,6,6,1,3,5,5,4,4,4,4,4,,,,,,I would offer to help my child on the skills they were having trouble with.,I would feel bad for them. ,I would feel like I had let the ball drop and let them fail.,2,1,0,1,1,1,4,4,4,college degree,Female,White,29,5 or more,2,4,6,7,9,6953843,192
46,Yes,I commit to carefully reading the material presented in this study.,5,4,2,3,6,5,5,5,,,,,,5,5,4,4,3,I would first look at the test with her. I would try to see what she needs to work on and see if I could help her. Then if I didn't see what the problem is I would contact the teacher and try to find out what the problem is.,I would think that maybe should falsely thought she understood the material. She thought she knew it but didn't.,I would feel sorry for her. I want her to do good in school.,1,2,0,4,3,2,2,3,5,college degree,Female,White,45,2,15,13,,,,9714714,495
47,Yes,I commit to carefully reading the material presented in this study.,1,1,6,6,6,6,5,5,4,6,6,3,3,,,,,,I would tell him that we need to study more and ask him what is wrong. I would ask how we can help.,I would think there is a studying issue or he just needs a tutor.,I would feel concerned. Very.,1,2,0,4,6,6,6,5,2,college degree,Male,White,36,1,7,0,0,0,0,2326105,240
49,Yes,I commit to carefully reading the material presented in this study.,6,6,1,1,6,6,6,6,,,,,,6,6,6,6,6,I would ask my child to see their test paper. I would ask them what they found confusing and go over the problems that they got wrong. I would tutor them personally on the things they got wrong and make sure that understood the topic/s fully. I would then create my own test and see how she/he does. I would practice with him/her and make sure they did good on their next test!,"I would think that either my child underestimated how much they knew, or perhaps the teacher put something new or confusing on the test?! Either way, I would study rigorously with my child until the grade was an A!",I would feel like I needed to step in and figure out what went wrong and help my child to improve his/her grades!,0,3,0,6,6,6,1,1,4,college degree,Female,White,37,2,11,3,,,,5732497,461
51,Yes,I commit to carefully reading the material presented in this study.,3,2,3,3,3,4,3,3,,,,,,5,6,6,6,6,"I would ask them how much studying did they do? How much effort did they put into the test, was there anything they didn't understand that they could have went over with the teacher or me before ? ","I would think that my child doesn't quite understand math as much as shown, or that they just had a bad testing day ",I would feel that practice is needed and maybe some different study methods ,1,2,1,5,5,5,1,1,1,college degree,Female,White,33,3,15,7,1,0,0,9761332,567
52,Yes,I commit to carefully reading the material presented in this study.,2,2,5,4,6,6,6,6,2,4,1,1,6,,,,,,"I would ask my child how they felt, why they think they performed poorly and what they think they should do to improve. My child is an AP student, so I would suspect something other than ability to be the source of the problem. ",That he got cocky and decided that it was ok to place his attention elsewhere when learning the material.,"Depending upon our conversation, unconcerned. Unless this developed into a pattern, I wouldn't make too big a deal out of it, but would make sure it didn't turn into a pattern of behavior. ",0,1,2,6,6,5,2,2,5,a high school degree,Male,White,49,1,14,,,,,8489179,378
53,Yes,I commit to carefully reading the material presented in this study.,4,5,3,3,6,5,4,5,,,,,,5,4,5,5,5,What do you think went wrong? How can I help you do better next time?,"They either didn't study enough, or didn't actually understand the material",disappointed and a little frustrated,1,2,1,4,4,3,2,2,2,college degree,Female,Hispanic,31,2,11,8,,,,3439916,212
54,Yes,I commit to carefully reading the material presented in this study.,2,3,4,4,4,6,6,6,,,,,,6,6,6,6,6,"I would tell Donald to try better next time and that through hard work and studying, he will do better. He noted that some were confusing, obviously he should work hard on the confusing ones and strive for success next time.",I would feel concerned that maybe he was falling behind but confident in his ability to succeed.,"I would feel fine, everyone has to experience failures at some point in their life.",1,1,1,6,6,6,1,1,1,a high school degree,Male,Hispanic,32,1,6,,,,,3926916,265
55,Yes,I commit to carefully reading the material presented in this study.,4,3,2,4,2,3,4,4,2,4,2,4,5,,,,,,i would ask her if she thought it was hard and then go over the paper with her,i would think she just needs to practice more,i would feel like i didnt help her enough,1,2,0,3,4,3,2,3,4,college degree,Female,White,26,1,6,,,,,3534146,410
56,Yes,I commit to carefully reading the material presented in this study.,1,1,6,6,4,4,5,5,,,,,,4,4,4,4,4,I will help you to study next time. ,That her studying habits are wrong. ,I would want to help. ,0,2,0,4,4,4,2,2,2,a high school degree,Female,Hispanic,34,1,10,,,,,6894,298
57,Yes,I commit to carefully reading the material presented in this study.,2,3,6,6,6,6,6,6,5,5,4,5,5,,,,,,I would tell her not to 'worry' but we have some work to do. We would go over the test and I would I identify was it the entire test she struggled with or was there one section that tripped her up. I'd have her re-work the exact problems and say out loud what she was thinking and why she was writing the thing she was.,"I wouldn't fear her failing a test or two, I am confident in her and her abilities. I would feel like there was more of a communication problem with her than a learning problem. Maybe she was too afraid to ask for extra help at school and too ready to play at home.",I would feel bad for her for a moment and I would focus on keeping from being dejected and try to motivate her to go back and show the next test who is boss. I would also relentlessly go through practice problems with her even of she said she understood it. I would mostly feel motivated. ,1,2,0,6,6,6,6,6,6,college degree,Male,White,34,1,9,0,0,0,0,4582798,760
59,Yes,I commit to carefully reading the material presented in this study.,4,4,4,2,6,6,4,5,,,,,,6,4,5,5,5,I would attempt to find him a tutor and I would also determine that maths study sessions should be longer than it has been.  I would encourage him to work harder and go back to the basics which is what I believe most problems with math are - the basics.,"I think it is a serious situation that can jeopardize his future, and as such, it should be taken very seriously.",I would feel that I didn't keep a close eye on what was going with him.,2,2,0,4,5,5,4,4,2,college degree,Female,Hispanic,35,1,9,,,,,4100158,678
